Taxon name,Taxon family
Abietinella abietina,Thuidiaceae
Achillea millefolium,Asteraceae
Agrostis,Poaceae
Agrostis anadyrensis,Poaceae
Agrostis mertensii,Poaceae
Agrostis nebulosa,Poaceae
Agrostis scabra,Poaceae
Agrostis tolucensis,Poaceae
Allium schoenoprasum,Liliaceae
Aloina brevirostris,Pottiaceae
Aloina rigida var. rigida,Pottiaceae
Alopecurus,Poaceae
Alopecurus magellanicus,Poaceae
Amaranthus retroflexus,Amaranthaceae
Amblyodon dealbatus,Meesiaceae
Amblystegium serpens,Amblystegiaceae
Amerorchis rotundifolia,Orchidaceae
Amphidium lapponicum,Orthotrichaceae
Amphidium mougeotii,Orthotrichaceae
Andreaea blyttii,Andreaeaceae
Andreaea obovata,Andreaeaceae
Andreaea rupestris,Andreaeaceae
Andromeda polifolia var. polifolia,Ericaceae
Androsace chamaejasme subsp. lehmanniana,Primulaceae
Androsace septentrionalis,Primulaceae
Anomobryum julaceum,Bryaceae
Antennaria alpina,Asteraceae
Antennaria friesiana subsp. friesiana,Asteraceae
Antennaria microphylla,Asteraceae
Antennaria monocephala subsp. angustata,Asteraceae
Antennaria rosea subsp. confinis,Asteraceae
Antennaria rosea subsp. pulvinata,Asteraceae
Anthoxanthum,Poaceae
Anthoxanthum arcticum,Poaceae
Anthoxanthum hirtum,Poaceae
Anthoxanthum monticola,Poaceae
Anthoxanthum monticola subsp. alpinum,Poaceae
Anthoxanthum monticola subsp. monticola,Poaceae
Anthoxanthum nitens,Poaceae
Anthoxanthum occidentale,Poaceae
Aplodon wormskioldii,Splachnaceae
Arabidopsis arenicola,Brassicaceae
Arabis alpina,Brassicaceae
Arctagrostis,Poaceae
Arctagrostis latifolia,Poaceae
Arctagrostis latifolia subsp. arundinacea,Poaceae
Arctagrostis latifolia subsp. latifolia,Poaceae
Arctanthemum arcticum subsp. polare,Asteraceae
Arctophila,Poaceae
Arctophila fulva,Poaceae
Arctostaphylos uva-ursi,Ericaceae
Arctous alpina,Ericaceae
Arctous rubra,Ericaceae
Arenaria humifusa,Caryophyllaceae
Armeria maritima subsp. sibirica,Plumbaginaceae
Arnica angustifolia subsp. angustifolia,Asteraceae
Arnica lonchophylla,Asteraceae
Artemisia borealis subsp. borealis,Asteraceae
Artemisia borealis subsp. richardsoniana,Asteraceae
Artemisia campestris subsp. canadensis,Asteraceae
Artemisia frigida,Asteraceae
Artemisia furcata,Asteraceae
Artemisia tilesii,Asteraceae
Atriplex dioica,Chenopodiaceae
Aulacomnium acuminatum,Aulacomniaceae
Aulacomnium palustre,Aulacomniaceae
Aulacomnium turgidum,Aulacomniaceae
Bartramia ithyphylla,Bartramiaceae
Bartramia pomiformis,Bartramiaceae
Bartsia alpina,Orobanchaceae
Beckmannia,Poaceae
Beckmannia syzigachne,Poaceae
Bidens hyperborea,Asteraceae
Bistorta vivipara,Polygonaceae
Blindia acuta,Seligeriaceae
Blysmopsis rufa,Cyperaceae
Brachythecium acutum,Brachytheciaceae
Brachythecium cirrosum,Brachytheciaceae
Brachythecium turgidum,Brachytheciaceae
Braya glabella subsp. glabella,Brassicaceae
Braya glabella subsp. purpurascens,Brassicaceae
Braya humilis subsp. humilis,Brassicaceae
Bromus,Poaceae
Bromus caroli-henrici,Poaceae
Bromus commutatus,Poaceae
Bromus hallii,Poaceae
Bromus inermis,Poaceae
Bromus japonicus,Poaceae
Bromus pumpellianus,Poaceae
Bromus pumpellianus subsp. dicksonii,Poaceae
Bromus pumpellianus subsp. pumpellianus,Poaceae
Bromus richardsonii,Poaceae
Bromus riparius,Poaceae
Bromus sect. Bromopsis,Poaceae
Bromus sect. Bromus,Poaceae
Bromus sect. Ceratochloa,Poaceae
Bromus sect. Genea,Poaceae
Bromus sect. Neobromus,Poaceae
Bryobrittonia longipes,Encalyptaceae
Bryoerythrophyllum recurvirostrum,Pottiaceae
Bryum argenteum var. argenteum,Bryaceae
Bryum blindii,Bryaceae
Bryum lanatum,Bryaceae
Calamagrostis,Poaceae
Calamagrostis canadensis,Poaceae
Calamagrostis canadensis var. langsdorffii,Poaceae
Calamagrostis cinnoides,Poaceae
Calamagrostis deschampsioides,Poaceae
Calamagrostis epigejos,Poaceae
Calamagrostis lapponica,Poaceae
Calamagrostis purpurascens,Poaceae
Calamagrostis stricta,Poaceae
Calamagrostis stricta subsp. inexpansa,Poaceae
Calamagrostis stricta subsp. stricta,Poaceae
Calamagrostis ×acutiflora,Poaceae
Calla palustris,Araceae
Calliergon cordifolium,Calliergonaceae
Calliergon giganteum,Calliergonaceae
Calliergon richardsonii,Calliergonaceae
Callitriche palustris,Plantaginaceae
Calypso bulbosa var. americana,Orchidaceae
Camelina microcarpa,Brassicaceae
Camelina sativa,Brassicaceae
Campylium stellatum,Amblystegiaceae
Capsella bursa-pastoris,Brassicaceae
Cardamine bellidifolia,Brassicaceae
Cardamine nymanii,Brassicaceae
Carex adelostoma,Cyperaceae
Carex aquatilis var. aquatilis,Cyperaceae
Carex aquatilis var. minor,Cyperaceae
Carex atrofusca,Cyperaceae
Carex bicolor,Cyperaceae
Carex bigelowii subsp. bigelowii,Cyperaceae
Carex bigelowii subsp. lugens,Cyperaceae
Carex capillaris,Cyperaceae
Carex capitata,Cyperaceae
Carex chordorrhiza,Cyperaceae
Carex concinna,Cyperaceae
Carex diandra,Cyperaceae
Carex flava,Cyperaceae
Carex garberi,Cyperaceae
Carex glacialis,Cyperaceae
Carex glareosa subsp. glareosa,Cyperaceae
Carex gynandra,Cyperaceae
Carex gynocrates,Cyperaceae
Carex holostoma,Cyperaceae
Carex lachenalii,Cyperaceae
Carex leptalea,Cyperaceae
Carex magellanica subsp. irrigua,Cyperaceae
Carex marina,Cyperaceae
Carex maritima,Cyperaceae
Carex membranacea,Cyperaceae
Carex microglochin subsp. microglochin,Cyperaceae
Carex nardina,Cyperaceae
Carex norvegica,Cyperaceae
Carex rariflora,Cyperaceae
Carex rostrata,Cyperaceae
Carex rufina,Cyperaceae
Carex saxatilis,Cyperaceae
Carex sterilis,Cyperaceae
Carex subspathacea,Cyperaceae
Carex supina subsp. spaniocarpa,Cyperaceae
Carex trisperma,Cyperaceae
Carex ursina,Cyperaceae
Carex utriculata,Cyperaceae
Carex vaginata,Cyperaceae
Carex williamsii,Cyperaceae
Cassiope tetragona subsp. tetragona,Ericaceae
Castilleja elegans,Orobanchaceae
Castilleja pallida var. caudata,Orobanchaceae
Castilleja raupii,Orobanchaceae
Castilleja septentrionalis,Orobanchaceae
Catoscopium nigritum,Catoscopiaceae
Cerastium alpinum subsp. alpinum,Caryophyllaceae
Cerastium alpinum subsp. lanatum,Caryophyllaceae
Cerastium arcticum,Caryophyllaceae
Cerastium arvense subsp. strictum,Caryophyllaceae
Cerastium beeringianum,Caryophyllaceae
Cerastium bialynickii,Caryophyllaceae
Cerastium cerastoides,Caryophyllaceae
Cerastium regelii,Caryophyllaceae
Ceratodon purpureus subsp. purpureus,Ditrichaceae
Chamaedaphne calyculata,Ericaceae
Chenopodium album,Chenopodiaceae
Chrysosplenium rosendahlii,Saxifragaceae
Chrysosplenium tetrandrum,Saxifragaceae
Cinclidium arcticum,Mniaceae
Cinclidium latifolium,Mniaceae
Cinclidium stygium,Mniaceae
Cinclidium subrotundum,Mniaceae
Climacium dendroides,Climaciaceae
Cochlearia groenlandica,Brassicaceae
Comarum palustre,Rosaceae
Conardia compacta,Amblystegiaceae
Conostomum tetragonum,Bartramiaceae
Corallorhiza trifida,Orchidaceae
Cornus canadensis,Cornaceae
Cornus suecica,Cornaceae
Coscinodon cribrosus,Grimmiaceae
Cratoneuron filicinum,Amblystegiaceae
Crepis nana,Asteraceae
Ctenidium molluscum,Hypnaceae
Cynodontium polycarpon,Dicranaceae
Cynodontium schisti,Dicranaceae
Cynodontium strumiferum,Dicranaceae
Cynodontium tenellum,Dicranaceae
Cypripedium passerinum,Orchidaceae
Cyrtomnium hymenophylloides,Mniaceae
Cyrtomnium hymenophyllum,Mniaceae
Dasiphora fruticosa,Rosaceae
Deschampsia,Poaceae
Deschampsia alpina,Poaceae
Deschampsia brevifolia,Poaceae
Deschampsia cespitosa,Poaceae
Deschampsia cespitosa subsp. beringensis,Poaceae
Deschampsia cespitosa subsp. cespitosa,Poaceae
Deschampsia cespitosa subsp. holciformis,Poaceae
Deschampsia elongata,Poaceae
Deschampsia mackenzieana,Poaceae
Deschampsia sukatschewii,Poaceae
Descurainia incana,Brassicaceae
Descurainia pinnata subsp. brachycarpa,Brassicaceae
Descurainia sophioides,Brassicaceae
Diapensia lapponica,Diapensiaceae
Dichodontium pellucidum,Dicranaceae
Dicranella crispa,Dicranaceae
Dicranoweisia crispula,Dicranaceae
Dicranum acutifolium,Dicranaceae
Dicranum brevifolium,Dicranaceae
Dicranum elongatum,Dicranaceae
Dicranum fuscescens var. fuscescens,Dicranaceae
Dicranum groenlandicum,Dicranaceae
Dicranum majus var. majus,Dicranaceae
Dicranum montanum,Dicranaceae
Dicranum muehlenbeckii,Dicranaceae
Dicranum polysetum,Dicranaceae
Dicranum scoparium,Dicranaceae
Dicranum spadiceum,Dicranaceae
Dicranum undulatum,Dicranaceae
Didymodon asperifolius,Pottiaceae
Didymodon ferrugineus,Pottiaceae
Didymodon johansenii,Pottiaceae
Didymodon maximus,Pottiaceae
Didymodon rigidulus var. gracilis,Pottiaceae
Didymodon rigidulus var. icmadophilus,Pottiaceae
Didymodon rigidulus var. rigidulus,Pottiaceae
Didymodon vinealis var. vinealis,Pottiaceae
Distichium capillaceum,Ditrichaceae
Distichium hagenii,Ditrichaceae
Distichium inclinatum,Ditrichaceae
Ditrichum flexicaule,Ditrichaceae
Ditrichum gracile,Ditrichaceae
Draba alpina,Brassicaceae
Draba arctica,Brassicaceae
Draba aurea,Brassicaceae
Draba borealis,Brassicaceae
Draba cinerea,Brassicaceae
Draba corymbosa,Brassicaceae
Draba crassifolia,Brassicaceae
Draba fladnizensis,Brassicaceae
Draba glabella,Brassicaceae
Draba lactea,Brassicaceae
Draba micropetala,Brassicaceae
Draba nemorosa,Brassicaceae
Draba nivalis,Brassicaceae
Draba oblongata,Brassicaceae
Draba oligosperma,Brassicaceae
Draba pauciflora,Brassicaceae
Draba pilosa,Brassicaceae
Draba subcapitata,Brassicaceae
Drepanocladus arcticus,Amblystegiaceae
Drepanocladus latinervis,Amblystegiaceae
Drepanocladus polygamus,Amblystegiaceae
Drepanocladus sordidus,Amblystegiaceae
Drosera intermedia,Droseraceae
Drosera rotundifolia,Droseraceae
Dryas integrifolia subsp. integrifolia,Rosaceae
Dryas integrifolia subsp. sylvatica,Rosaceae
Dupontia,Poaceae
Dupontia fisheri,Poaceae
Eleocharis acicularis,Cyperaceae
Elodium blandowii,Helodiaceae
Elymus,Poaceae
Elymus alaskanus,Poaceae
Elymus alaskanus subsp. alaskanus,Poaceae
Elymus alaskanus subsp. hyperarcticus,Poaceae
Elymus ciliaris,Poaceae
Elymus curvatus,Poaceae
Elymus dahuricus,Poaceae
Elymus pringlei,Poaceae
Elymus repens,Poaceae
Elymus sierrae,Poaceae
Elymus tsukushiensis,Poaceae
Elymus violaceus,Poaceae
Elymus ×pinalenoensis,Poaceae
Empetrum nigrum,Ericaceae
Encalypta alpina,Encalyptaceae
Encalypta brevicollis,Encalyptaceae
Encalypta procera,Encalyptaceae
Encalypta rhaptocarpa,Encalyptaceae
Erigeron acris var. kamtschaticus,Asteraceae
Erigeron compositus,Asteraceae
Erigeron humilis,Asteraceae
Erigeron hyssopifolius,Asteraceae
Erigeron uniflorus var. eriocephalus,Asteraceae
Erigeron yukonensis,Asteraceae
Eriophorum angustifolium subsp. angustifolium,Cyperaceae
Eriophorum angustifolium subsp. triste,Cyperaceae
Eriophorum brachyantherum,Cyperaceae
Eriophorum callitrix,Cyperaceae
Eriophorum chamissonis,Cyperaceae
Eriophorum gracile,Cyperaceae
Eriophorum scheuchzeri,Cyperaceae
Eriophorum vaginatum,Cyperaceae
Erysimum cheiranthoides,Brassicaceae
Erysimum pallasii,Brassicaceae
Euphrasia disjuncta,Orobanchaceae
Euphrasia wettsteinii,Orobanchaceae
Eurhynchiastrum pulchellum var. pulchellum,Brachytheciaceae
Eurybia sibirica,Asteraceae
Eutrema edwardsii,Brassicaceae
Festuca,Poaceae
Festuca amethystina,Poaceae
Festuca baffinensis,Poaceae
Festuca brachyphylla,Poaceae
Festuca brachyphylla subsp. brachyphylla,Poaceae
Festuca brachyphylla subsp. breviculmis,Poaceae
Festuca brachyphylla subsp. coloradensis,Poaceae
Festuca edlundiae,Poaceae
Festuca frederikseniae,Poaceae
Festuca glauca,Poaceae
Festuca hyperborea,Poaceae
Festuca prolifera,Poaceae
Festuca roemeri,Poaceae
Festuca rubra,Poaceae
Festuca rubra subsp. arctica,Poaceae
Festuca rubra subsp. arenaria,Poaceae
Festuca rubra subsp. aucta,Poaceae
Festuca rubra subsp. commutata,Poaceae
Festuca rubra subsp. fallax,Poaceae
Festuca rubra subsp. mediana,Poaceae
Festuca rubra subsp. pruinosa,Poaceae
Festuca rubra subsp. rubra,Poaceae
Festuca rubra subsp. secunda,Poaceae
Festuca rubra subsp. vallicola,Poaceae
Festuca sect. Breviaristatae,Poaceae
Festuca sect. Elmera,Poaceae
Festuca sect. Festuca,Poaceae
Festuca sect. Subulatae,Poaceae
Festuca sect. Subuliflorae,Poaceae
Festuca sect. Texanae,Poaceae
Festuca subg. Festuca,Poaceae
Festuca subg. Montanae,Poaceae
Festuca subg. Obtusae,Poaceae
Festuca subg. Subulatae,Poaceae
Festuca trachyphylla,Poaceae
Festuca viviparoidea,Poaceae
Festuca viviparoidea subsp. krajinae,Poaceae
Festuca viviparoidea subsp. viviparoidea,Poaceae
Fissidens adianthoides,Fissidentaceae
Fissidens arcticus,Fissidentaceae
Fissidens bryoides,Fissidentaceae
Fissidens osmundioides,Fissidentaceae
Fragaria virginiana subsp. glauca,Rosaceae
Funaria arctica,Funariaceae
Funaria hygrometrica var. hygrometrica,Funariaceae
Funaria microstoma,Funariaceae
Funaria polaris,Funariaceae
Gemmabryum caespiticium,Bryaceae
Geocaulon lividum,Comandraceae
Geum macrophyllum var. perincisum,Rosaceae
Geum rivale,Rosaceae
Geum rossii,Rosaceae
Grimmia anodon,Grimmiaceae
Grimmia elongata,Grimmiaceae
Grimmia funalis,Grimmiaceae
Grimmia longirostris,Grimmiaceae
Grimmia montana,Grimmiaceae
Grimmia plagiopodia,Grimmiaceae
Gymnostomum aeruginosum,Pottiaceae
Haplodontium macrocarpum,Bryaceae
Harrimanella hypnoides,Ericaceae
Hedwigia ciliata,Hedwigiaceae
Hennediella heimii var. arctica,Pottiaceae
Hennediella heimii var. heimii,Pottiaceae
Hilpertia velenovskyi,Pottiaceae
Hippuris lanceolata,Plantaginaceae
Hippuris tetraphylla,Plantaginaceae
Hippuris vulgaris,Plantaginaceae
Honckenya peploides subsp. diffusa,Caryophyllaceae
Hordeum,Poaceae
Hordeum jubatum,Poaceae
Hordeum jubatum subsp. intermedium,Poaceae
Hordeum jubatum subsp. jubatum,Poaceae
Hordeum secalinum,Poaceae
Hulteniella integrifolia,Asteraceae
Hygroamblystegium varium var. varium,Amblystegiaceae
Hygrohypnum alpestre,Amblystegiaceae
Hygrohypnum cochleariifolium,Amblystegiaceae
Hygrohypnum luridum,Amblystegiaceae
Hygrohypnum polare,Amblystegiaceae
Hylocomium splendens,Hylocomiaceae
Hymenostylium recurvirostrum var. recurvirostrum,Pottiaceae
Hypnum bambergeri,Hypnaceae
Hypnum cupressiforme var. cupressiforme,Hypnaceae
Hypnum hamulosum,Hypnaceae
Hypnum holmenii,Hypnaceae
Hypnum lindbergii,Hypnaceae
Hypnum plicatulum,Hypnaceae
Hypnum pratense,Hypnaceae
Hypnum procerrimum,Hypnaceae
Hypnum recurvatum,Hypnaceae
Hypnum revolutum var. revolutum,Hypnaceae
Hypnum subimponens,Hypnaceae
Hypnum vaucheri,Hypnaceae
Isopterygiopsis alpicola,Hypnaceae
Isopterygiopsis pulchella,Hypnaceae
Juncus arcticus var. alaskanus,Juncaceae
Juncus arcticus var. balticus,Juncaceae
Juncus biglumis,Juncaceae
Juncus castaneus,Juncaceae
Juncus filiformis,Juncaceae
Juncus stygius var. americanus,Juncaceae
Juncus triglumis var. albescens,Juncaceae
Juncus triglumis var. triglumis,Juncaceae
Kalmia procumbens,Ericaceae
Kobresia myosuroides,Cyperaceae
Kobresia sibirica,Cyperaceae
Kobresia simpliciuscula,Cyperaceae
Koenigia islandica,Polygonaceae
Lemna trisulca,Lemnaceae
Leptobryum pyriforme,Meesiaceae
Leptodictyum riparium,Amblystegiaceae
Leymus,Poaceae
Leymus californicus,Poaceae
Leymus mollis,Poaceae
Leymus mollis subsp. mollis,Poaceae
Leymus mollis subsp. villosissimus,Poaceae
Leymus salina,Poaceae
Leymus salina subsp. mojavensis,Poaceae
Leymus salina subsp. salina,Poaceae
Leymus salina subsp. salmonis,Poaceae
Limosella aquatica,Scrophulariaceae
Linum lewisii var. lepagei,Linaceae
Linum lewisii var. lewisii,Linaceae
Listera borealis,Orchidaceae
Luzula arctica,Juncaceae
Luzula confusa,Juncaceae
Luzula groenlandica,Juncaceae
Luzula multiflora subsp. frigida,Juncaceae
Luzula parviflora,Juncaceae
Luzula spicata,Juncaceae
Luzula wahlenbergii,Juncaceae
Maianthemum trifolium,Liliaceae
Meesia longiseta,Meesiaceae
Meesia triquetra,Meesiaceae
Meesia uliginosa,Meesiaceae
Micranthes foliolosa,Saxifragaceae
